signal_date,execution_date,selected,safe_asset_weight,turnover,transaction_cost,momentum,weights
2007-06-29,2007-07-02,,1.0,0.5,0.0005,,BIL:1.000000
2007-07-31,2007-08-01,,1.0,0.0,0.0,,BIL:1.000000
2007-08-31,2007-09-04,,1.0,0.0,0.0,,BIL:1.000000
2007-09-28,2007-10-01,,1.0,0.0,0.0,,BIL:1.000000
2007-10-31,2007-11-01,,1.0,0.0,0.0,,BIL:1.000000
2007-11-30,2007-12-03,,1.0,0.0,0.0,,BIL:1.000000
2007-12-31,2008-01-02,,1.0,0.0,0.0,,BIL:1.000000
2008-01-31,2008-02-01,,1.0,0.0,0.0,,BIL:1.000000
2008-02-29,2008-03-03,,1.0,0.0,0.0,,BIL:1.000000
2008-03-31,2008-04-01,DBC|GLD|IEF,0.0,1.0,0.001,DBC:0.131246|GLD:0.108509|IEF:0.073815,IEF:0.333333|GLD:0.333333|DBC:0.333333
2008-04-30,2008-05-01,DBC|VNQ|EEM,0.0,0.6666666666666666,0.0006666666666666666,DBC:0.173577|VNQ:0.118760|EEM:0.092847,EEM:0.333333|VNQ:0.333333|DBC:0.333333
2008-05-30,2008-06-02,QQQ|VNQ|DBC,0.0,0.3333333333333333,0.0003333333333333333,QQQ:0.165287|VNQ:0.130393|DBC:0.123269,QQQ:0.333333|VNQ:0.333333|DBC:0.333333
2008-06-30,2008-07-01,DBC|GLD,0.0,0.6666666666666666,0.0006666666666666666,DBC:0.258926|GLD:0.052268,GLD:0.500000|DBC:0.500000
2008-07-31,2008-08-01,DBC|GLD|IEF,0.0,0.33333333333333337,0.0003333333333333334,DBC:0.090418|GLD:0.072509|IEF:0.000753,IEF:0.333333|GLD:0.333333|DBC:0.333333
2008-08-29,2008-09-02,TLT|IEF|IWM,0.0,0.6666666666666666,0.0006666666666666666,TLT:0.046744|IEF:0.028191|IWM:0.002106,IWM:0.333333|TLT:0.333333|IEF:0.333333
2008-09-30,2008-10-01,VNQ|TLT|IEF,0.0,0.3333333333333333,0.0003333333333333333,VNQ:0.055228|TLT:0.041194|IEF:0.023925,TLT:0.333333|IEF:0.333333|VNQ:0.333333
2008-10-31,2008-11-03,TLT|IEF,0.0,0.33333333333333337,0.0003333333333333334,TLT:0.023247|IEF:0.005276,TLT:0.500000|IEF:0.500000
2008-11-28,2008-12-01,TLT|IEF,0.0,0.0,0.0,TLT:0.138700|IEF:0.066741,TLT:0.500000|IEF:0.500000
2008-12-31,2009-01-02,TLT|IEF|GLD,0.0,0.33333333333333337,0.0003333333333333334,TLT:0.259492|IEF:0.115458|GLD:0.006398,TLT:0.333333|IEF:0.333333|GLD:0.333333
2009-01-30,2009-02-02,GLD|TLT|IEF,0.0,0.0,0.0,GLD:0.233919|TLT:0.104902|IEF:0.078499,TLT:0.333333|IEF:0.333333|GLD:0.333333
2009-02-27,2009-03-02,GLD|IEF,0.0,0.33333333333333337,0.0003333333333333334,GLD:0.145419|IEF:0.011406,IEF:0.500000|GLD:0.500000
2009-03-31,2009-04-01,GLD,0.0,0.5,0.0005,GLD:0.045512,GLD:1.000000
2009-04-30,2009-05-01,EEM|QQQ,0.0,1.0,0.001,EEM:0.256354|QQQ:0.160807,QQQ:0.500000|EEM:0.500000
2009-05-29,2009-06-01,EEM|EFA|QQQ,0.0,0.33333333333333337,0.0003333333333333334,EEM:0.565709|EFA:0.368223|QQQ:0.287269,QQQ:0.333333|EFA:0.333333|EEM:0.333333
2009-06-30,2009-07-01,EEM|EFA|IWM,0.0,0.3333333333333333,0.0003333333333333333,EEM:0.309644|EFA:0.244570|IWM:0.214744,IWM:0.333333|EFA:0.333333|EEM:0.333333
2009-07-31,2009-08-03,EEM|EFA|QQQ,0.0,0.3333333333333333,0.0003333333333333333,EEM:0.239984|EFA:0.213891|QQQ:0.149215,QQQ:0.333333|EFA:0.333333|EEM:0.333333
2009-08-31,2009-09-01,VNQ|QQQ|EFA,0.0,0.3333333333333333,0.0003333333333333333,VNQ:0.190771|QQQ:0.099869|EFA:0.097050,QQQ:0.333333|EFA:0.333333|VNQ:0.333333
2009-09-30,2009-10-01,VNQ|EEM|EFA,0.0,0.3333333333333333,0.0003333333333333333,VNQ:0.326750|EEM:0.185557|EFA:0.174146,EFA:0.333333|EEM:0.333333|VNQ:0.333333
2009-10-30,2009-11-02,VNQ|GLD|SPY,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.143572|GLD:0.092255|SPY:0.035975,SPY:0.333333|GLD:0.333333|VNQ:0.333333
2009-11-30,2009-12-01,GLD|EEM|DBC,0.0,0.6666666666666666,0.0006666666666666666,GLD:0.238116|EEM:0.147550|DBC:0.115332,EEM:0.333333|GLD:0.333333|DBC:0.333333
2009-12-31,2010-01-04,VNQ|DBC|QQQ,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.144663|DBC:0.123175|QQQ:0.117715,QQQ:0.333333|VNQ:0.333333|DBC:0.333333
2010-01-29,2010-02-01,VNQ|IWM|GLD,0.0,0.6666666666666666,0.0006666666666666666,VNQ:0.110932|IWM:0.062010|GLD:0.051921,IWM:0.333333|GLD:0.333333|VNQ:0.333333
2010-02-26,2010-03-01,VNQ|IWM|QQQ,0.0,0.3333333333333333,0.0003333333333333333,VNQ:0.083293|IWM:0.062604|QQQ:0.019202,QQQ:0.333333|IWM:0.333333|VNQ:0.333333
2010-03-31,2010-04-01,VNQ|IWM|QQQ,0.0,0.0,0.0,VNQ:0.081987|IWM:0.074947|QQQ:0.047391,QQQ:0.333333|IWM:0.333333|VNQ:0.333333
